experiment_id	window_size	profile	phase	size_bytes	ordinal	logical_request_id	attempt_id	activation_id	client_start_unix_ns	client_end_unix_ns	http_status	http_request_bytes	http_response_bytes	terminal_status	terminal_success	blocking_result_sha256	activation_get_first_success_unix_ns	activation_get_response_bytes	activation_get_result_sha256	activation_get_result_match
C5	3	native	measured	1024	65	65	1	23634f43360c46cea34f43360cf6ce8e	1784742216293780198	1784742216345298834	200	1024	4702	success	true	a9efdd7106a64c368493d3e4d665be4c62e517472a83ce96b993b6a2fb7c1e95	1784742216590834797	4702	a9efdd7106a64c368493d3e4d665be4c62e517472a83ce96b993b6a2fb7c1e95	true
C5	3	native	measured	1024	66	66	1	ddbbfe3593364e0abbfe3593369e0a07	1784742216357426219	1784742216390718765	200	1024	4701	success	true	9132499ef55d27bc88c2d21d96d75ea86da03ce21980066a8ba1e90d958cb811	1784742216406752197	4701	9132499ef55d27bc88c2d21d96d75ea86da03ce21980066a8ba1e90d958cb811	true
C5	3	native	measured	1024	67	67	1	0efe4a36f5f54207be4a36f5f58207da	1784742216407041306	1784742216442269762	200	1024	4702	success	true	fe5b00ab183b6f486fc398c009b93b1b05778e1bf6304e78776eb984c980dd1f	1784742216451619134	4702	fe5b00ab183b6f486fc398c009b93b1b05778e1bf6304e78776eb984c980dd1f	true
C5	3	native	measured	1024	68	68	1	5c74505979ed4ab6b4505979edeab6be	1784742216451875633	1784742216491136793	200	1024	4701	success	true	04a76a1bb3f80a5ac0bab72ff1770d1f6a3e4eefa18cdcf9b133509fd5d87952	1784742216500381105	4701	04a76a1bb3f80a5ac0bab72ff1770d1f6a3e4eefa18cdcf9b133509fd5d87952	true
C5	3	native	measured	1024	69	69	1	5b86caee9e48490f86caee9e48f90f17	1784742216500665113	1784742216544952585	200	1024	4702	success	true	2eb85083468a7b5d95873d7415c53e28eb736bd28ea8558199426e22de627746	1784742216559967947	4702	2eb85083468a7b5d95873d7415c53e28eb736bd28ea8558199426e22de627746	true
C5	3	native	measured	1024	70	70	1	565f361aa002442c9f361aa002b42cae	1784742216560293176	1784742216616396188	200	1024	4703	success	true	be3ca7019b6aa2a7137fefd0852cd7ff2a63934cbe6174955000eaaab4a1559c	1784742216629687675	4703	be3ca7019b6aa2a7137fefd0852cd7ff2a63934cbe6174955000eaaab4a1559c	true
C5	3	native	measured	1024	71	71	1	0848c4c0a98e430488c4c0a98ec3041b	1784742216577169194	1784742216654805395	200	1024	4703	success	true	e188e3470bb2989fed277bfa65de4a9f3d35713775fcd88521ab1b6c8c67e30f	1784742216670266290	4703	e188e3470bb2989fed277bfa65de4a9f3d35713775fcd88521ab1b6c8c67e30f	true
C5	3	native	measured	1024	72	72	1	8309e87cd864436789e87cd864036779	1784742216591109819	1784742216661449531	200	1024	4702	success	true	c7cd67c0a2fea922ff1ed9f9930a2d73f822f055ac48d88722c214e8512a2167	1784742216682299929	4702	c7cd67c0a2fea922ff1ed9f9930a2d73f822f055ac48d88722c214e8512a2167	true
C5	3	native	measured	1024	73	73	1	b43188d00a3a464eb188d00a3a564e70	1784742216630036616	1784742216683615960	200	1024	4703	success	true	d68814e36d346f71554538d1fd038881e566ad4ee747d1431966fc4ad5a023da	1784742216704972085	4703	d68814e36d346f71554538d1fd038881e566ad4ee747d1431966fc4ad5a023da	true
C5	3	native	measured	1024	74	74	1	89375dfa38584861b75dfa3858e86184	1784742216670551449	1784742216729136072	200	1024	4702	success	true	92dfb4fcd009a0dadc341c6c8e993e42b26a35ef28083dca22590b17bd53dc39	1784742216756597997	4702	92dfb4fcd009a0dadc341c6c8e993e42b26a35ef28083dca22590b17bd53dc39	true
C5	3	native	measured	1024	75	75	1	45c2ec028b204c2982ec028b20ac2988	1784742216687031623	1784742216744755333	200	1024	4702	success	true	3b4883596304bf456196134ec5291e9416ea4d4e423116e58b036632aeb90a29	1784742216779996910	4702	3b4883596304bf456196134ec5291e9416ea4d4e423116e58b036632aeb90a29	true
C5	3	native	measured	1024	76	76	1	b64eb3400b0548988eb3400b0588987e	1784742216705320688	1784742216752289157	200	1024	4702	success	true	e2be3e86678e442db9c33dfc17af0099c5cea922b8449557e7dfb38b0edea8e5	1784742216785159877	4702	e2be3e86678e442db9c33dfc17af0099c5cea922b8449557e7dfb38b0edea8e5	true
C5	3	native	measured	1024	77	77	1	be0b9e42d4464cf38b9e42d4462cf31a	1784742216756929395	1784742216826630946	200	1024	4702	success	true	32eb0b7a08ba7a3bf21acbcceb2001de0d09fc843eff4ac86ae22f2aa7b495b8	1784742216890914950	4702	32eb0b7a08ba7a3bf21acbcceb2001de0d09fc843eff4ac86ae22f2aa7b495b8	true
C5	3	native	measured	1024	78	78	1	78895144be414488895144be4134884c	1784742216780277882	1784742216821309197	200	1024	4702	success	true	9b84129aff5919e190b5a85698c9180a6e88cf217d9e06e8cabc57184b474b53	1784742216844128507	4702	9b84129aff5919e190b5a85698c9180a6e88cf217d9e06e8cabc57184b474b53	true
C5	3	native	measured	1024	79	79	1	566d5f049d304580ad5f049d30c580ac	1784742216798977214	1784742216831528409	200	1024	4701	success	true	754bcb42ca6927453adb8c5e9eacd23d8666ff0514a1ef08fe74dda64836b3f7	1784742216871578294	4701	754bcb42ca6927453adb8c5e9eacd23d8666ff0514a1ef08fe74dda64836b3f7	true
