experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id
C5	compression-derived-random256k-level6-v1-measured	measured	236	1	997bfb01480748debbfb01480768de70
C5	compression-derived-random256k-level6-v1-measured	measured	237	1	b621f0ccf7f7403da1f0ccf7f7003d8b
C5	compression-derived-random256k-level6-v1-measured	measured	238	1	f34bba6038704b248bba603870cb24ca
C5	compression-derived-random256k-level6-v1-measured	measured	239	1	b2b1d8ce7e9b4ee2b1d8ce7e9bbee2cf
C5	compression-derived-random256k-level6-v1-measured	measured	240	1	60c16efa6bb740e0816efa6bb790e022
C5	compression-derived-random256k-level6-v1-measured	measured	241	1	5a96c2d8158c481796c2d8158c381720
C5	compression-derived-random256k-level6-v1-measured	measured	242	1	fd486c54f0e34f40886c54f0e38f408b
C5	compression-derived-random256k-level6-v1-measured	measured	243	1	f3b598d708464176b598d70846717648
C5	compression-derived-random256k-level6-v1-measured	measured	244	1	d0075f6631314083875f66313110830f
C5	compression-derived-random256k-level6-v1-measured	measured	245	1	6fd3a7584a324bc193a7584a322bc112
C5	compression-derived-random256k-level6-v1-measured	measured	246	1	e4658bd93e444684a58bd93e4446842a
C5	compression-derived-random256k-level6-v1-measured	measured	247	1	0efc751cb0d84728bc751cb0d81728f4
C5	compression-derived-random256k-level6-v1-measured	measured	248	1	16a2d411148f44a3a2d411148f34a352
C5	compression-derived-random256k-level6-v1-measured	measured	249	1	b57f230ea53f4527bf230ea53f8527e0
C5	compression-derived-random256k-level6-v1-measured	measured	250	1	26fc280526674f9bbc28052667af9b45
C5	compression-derived-random256k-level6-v1-measured	measured	251	1	ef0f246a30eb467a8f246a30eb467a74
C5	compression-derived-random256k-level6-v1-measured	measured	252	1	ee62b5a74a5640afa2b5a74a5610afb0
C5	compression-derived-random256k-level6-v1-measured	measured	253	1	e30fcca74a76432c8fcca74a76132cc4
C5	compression-derived-random256k-level6-v1-measured	measured	254	1	acb5f9bda6cf4b97b5f9bda6cf5b9720
C5	compression-derived-random256k-level6-v1-measured	measured	255	1	fa12a64280244ef992a64280246ef95f
C5	compression-derived-random256k-level6-v1-measured	measured	256	1	d7e16fdbca8b4926a16fdbca8be92663
C5	compression-derived-random256k-level6-v1-measured	measured	257	1	5d56671e74334b5d96671e7433cb5d3c
C5	compression-derived-random256k-level6-v1-measured	measured	258	1	51628b746d3049faa28b746d3019fa19
C5	compression-derived-random256k-level6-v1-measured	measured	259	1	a1aba31108bc4e31aba31108bc1e3184
C5	compression-derived-random256k-level6-v1-measured	measured	260	1	a482f996dc9d44a382f996dc9d54a344
C5	compression-derived-random256k-level6-v1-measured	measured	261	1	b0421ef72e2d42d6821ef72e2d42d616
C5	compression-derived-random256k-level6-v1-measured	measured	262	1	53c1d86219264a6f81d86219260a6fc9
C5	compression-derived-random256k-level6-v1-measured	measured	263	1	1e2eacd44c4c4593aeacd44c4cc59387
C5	compression-derived-random256k-level6-v1-measured	measured	264	1	730934badaf248e68934badaf248e686
C5	compression-derived-random256k-level6-v1-measured	measured	265	1	cb9508a854824f719508a854828f7111
C5	compression-derived-random256k-level6-v1-measured	measured	266	1	cd66a54a86b045f6a6a54a86b0d5f651
C5	compression-derived-random256k-level6-v1-measured	measured	267	1	b5bc225088bf4f22bc225088bf0f22e0
C5	compression-derived-random256k-level6-v1-measured	measured	268	1	b67df1b58e024826bdf1b58e029826b8
C5	compression-derived-random256k-level6-v1-measured	measured	269	1	e40922a6844c48ca8922a6844c98caae
C5	compression-derived-random256k-level6-v1-measured	measured	270	1	513086fdcfa34c60b086fdcfa36c606e
C5	compression-derived-random256k-level6-v1-measured	measured	271	1	49dea50a97d545dd9ea50a97d525dd1f
C5	compression-derived-random256k-level6-v1-measured	measured	272	1	641d2d552ee547e39d2d552ee577e325
C5	compression-derived-random256k-level6-v1-measured	measured	273	1	5de29a4ed7344f51a29a4ed7340f511a
