schema_version	experiment_id	segment_id	phase	logical_request_id	attempt_id	activation_id	event_code	event_instance_index	primary_event	selection_status	unix_ns	mono_ns	clock_domain	node	process	pid	tid	status	boundary_name	delivery_path	transaction_id	source_path	source_line	source_sha256
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW310	1	true	primary	1784920724528000000	2418892683308	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_worker_activation_received			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1419	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	102	1	dafad516c2f8490dbad516c2f8890d0c	OW800	1	true	primary	1784920724532000000	2418897604263	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	dfd45e06639b01bf88720caf2fb8ed6d	observed_direct_marker	openwhisk_result_notify_submit			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1426	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW120	1	true	primary	1784920724584000000	2414824165468	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_controller_invoke_enter		8870f71d773a99926daf9065c6141f01	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	205	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW150	1	true	primary	1784920724585000000	2414824210759	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_activation_id_created		8870f71d773a99926daf9065c6141f01	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	206	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW260	1	true	primary	1784920724613000000	2414852353863	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_activation_queue_enter	activation_queue_enter	8870f71d773a99926daf9065c6141f01	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	306	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW300	1	true	primary	1784920724613000000	2414852545027	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	8870f71d773a99926daf9065c6141f01	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	307	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW300	2	false	duplicate_dispatch_preserved	1784920724613000000	2414852597306	openwhisk_scheduler_jvm_mono	scheduler0	openwhisk_scheduler	1	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_scheduler_activation_dispatch_exit	waiting_request_success_response	8870f71d773a99926daf9065c6141f01	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-scheduler0.markers.log	308	d1141decf3bfdb3f9fec87eff9e7cf02e547c57705df6f3c98311462e128a971
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW310	1	true	primary	1784920724627000000	2418992480553	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_worker_activation_received			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1433	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	103	1	b1a32e95c8c2421aa32e95c8c2021af0	OW800	1	true	primary	1784920724636000000	2419000812225	openwhisk_invoker_jvm_mono	invoker3	openwhisk_invoker	5504	8870f71d773a99926daf9065c6141f01	observed_direct_marker	openwhisk_result_notify_submit			<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/worker-worker-invoker3.db-thread.markers.log	1441	2f399d48b621ff0935fe7d8872190e320108d306e2ab7e57cb45910e06bfa5b8
native-openwhisk-timing-event-v1	C3	measured	measured	104	1	891b34b5da0341849b34b5da03318424	OW120	1	true	primary	1784920724721000000	2414960536218	openwhisk_controller_jvm_mono	controller0	openwhisk_controller	1	338aa893dfb84264086351e06fae5caf	observed_direct_marker	openwhisk_controller_invoke_enter		338aa893dfb84264086351e06fae5caf	<collection-root>/experiments/collections/363_native-e3-v2-ascii-identity-seven-size/point/filtered-openwhisk/local-controller0.markers.log	207	58aaba9de4e4bbae4471dd75176cfd14310f20ccb87dca47f6ac23045511951a
