status	operation	kind	source_binding_id	target_binding_id	correlation_hash	payload_length	input_direction	output_direction	pid	tid	enqueue_unix_ns	enqueue_mono_ns	dequeue_unix_ns	dequeue_mono_ns	event_unix_ns	queue_wait_ns	service_ns
SUCCESS	to_target	INPUT	2	11	ffa3fe181195b549899bf25c23a641ef6bcfda93b9e6331b30e6373759852ab6	38	1	2	1059496	1059507	1784422875493824265	31113862722555	1784422875493839045	31113862737294	1784422875493878519	14739	33200
SUCCESS	to_target	INPUT	2	7	a3c2f567b6cc3e9ba8b0562e8a3b4c2727cabce700de10db1b9171217263127c	38	1	2	1059496	1059507	1784422875503166932	31113872065223	1784422875503178056	31113872076306	1784422875503211462	11083	28455
SUCCESS	to_target	INPUT	2	8	dd43533483c0e8b5550833fd02a9c1f5138b1e1252f43dfd74e11e1f80f8368a	38	1	2	1059496	1059507	1784422875561333686	31113930232015	1784422875561365320	31113930263599	1784422875561409943	31584	37229
SUCCESS	to_target	INPUT	2	13	ed45017562ac6e6180903771486a9b1a84d6036a546e33c23d3f6da8ec7f0d0a	38	1	2	1059496	1059507	1784422875576007903	31113944906216	1784422875576025196	31113944923456	1784422875576068636	17240	36606
SUCCESS	to_target	INPUT	2	6	b962c6f6bde9441566ef0c8f90e628a0f6faa3d35a5da3e5aceb81163ed050ab	38	1	2	1059496	1059507	1784422875591844308	31113960742623	1784422875591860299	31113960758557	1784422875591900167	15934	33570
SUCCESS	to_target	INPUT	2	2	31553f5655e0a0c18f52bb8313cc3f6072182dfffb23ea81dda10d2f43748cd9	38	1	2	1059496	1059507	1784422875620138266	31113989036570	1784422875620154413	31113989052674	1784422875620196738	16104	35610
SUCCESS	to_target	INPUT	2	4	ee7ea0859be1e251b656c35e83de0ed879f0f544c389879cf093f64ae11429d6	38	1	2	1059496	1059507	1784422875627143163	31113996041488	1784422875627155396	31113996053643	1784422875627191625	12155	30882
SUCCESS	to_target	INPUT	2	10	690127e31811e7482536412dabf366aa866f9f264e112fc75ce878151f52e08b	38	1	2	1059496	1059507	1784422875646892905	31114015791245	1784422875646908935	31114015807206	1784422875646947293	15961	32272
SUCCESS	to_target	INPUT	2	1	edbb8fad4a938b9a85e7f23089efe6f9c7ee792697b30885311ce9f015b13269	38	1	2	1059496	1059507	1784422875655295128	31114024193459	1784422875655308657	31114024206909	1784422875655350454	13450	29795
SUCCESS	to_target	INPUT	2	9	47ec009269f0d05b3906f7763af9d772926da54f9c6ade5eef8c6b513b90aea9	38	1	2	1059496	1059507	1784422875675548311	31114044446635	1784422875675574356	31114044472623	1784422875675620568	25988	40419
